block,t_hr,h_B,h_L,h_D,tau,hunger,stage_idx,eligible,w,eta_t,lam,alpha0_hunger,q,fired,choice_idx0,choice_name,duration_blocks,appeal_big_e_cook,eta_k_big_e_cook,cost_big_e_cook,hunger_term_big_e_cook,prob_big_e_cook,appeal_small_e_cook,eta_k_small_e_cook,cost_small_e_cook,hunger_term_small_e_cook,prob_small_e_cook,appeal_quick_e_snack,eta_k_quick_e_snack,cost_quick_e_snack,hunger_term_quick_e_snack,prob_quick_e_snack,appeal_big_wood_cook,eta_k_big_wood_cook,cost_big_wood_cook,hunger_term_big_wood_cook,prob_big_wood_cook,appeal_small_wood,eta_k_small_wood,cost_small_wood,hunger_term_small_wood,prob_small_wood,appeal_cold_no_cook,eta_k_cold_no_cook,cost_cold_no_cook,hunger_term_cold_no_cook,prob_cold_no_cook
77,6.4167,4,0,0,0.75,0.037500000000000006,0,False,-0.45087023547446503,0.0,0.0,0.015000000000000003,0.058908817232592295,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,6.5,4,0,0,0.8333333333333334,0.04166666666666667,0,False,-0.23217472928961425,0.0,0.0,0.01666666666666667,0.0669495811802001,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,6.5833,4,0,0,0.9166666666666667,0.04583333333333334,0,False,-0.02324563362533634,0.0,0.0,0.018333333333333337,0.0748157891094778,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,6.6667,4,0,0,1.0,0.05,0,False,0.17427743640866417,0.0,0.0,0.020000000000000004,0.08226257517042049,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,6.75,4,0,0,1.0833333333333333,0.05416666666666667,0,False,0.3588105472637216,0.0,0.0,0.021666666666666667,0.0890982293960131,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,6.8333,4,0,0,1.1666666666666665,0.05833333333333333,0,False,0.5288480261752564,0.0,0.0,0.02333333333333333,0.09519623022759958,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,6.9167,4,0,0,1.2499999999999998,0.06249999999999999,0,False,0.6829846634752977,0.0,0.0,0.024999999999999998,0.10049335369169475,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,7.0,4,0,0,1.333333333333333,0.06666666666666665,0,False,0.8199371260912675,0.0,0.0,0.02666666666666666,0.10497813383523637,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,7.0833,4,0,0,1.4166666666666663,0.07083333333333332,0,False,0.9385641763734509,0.0,0.0,0.02833333333333333,0.10867510109337489,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,7.1667,4,0,0,1.4999999999999996,0.07499999999999998,0,False,1.0378853064338802,0.0,0.0,0.029999999999999995,0.11162918274197019,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
